"part_num","run","perc"
"01","1",15.6370656370656
"01","2",8.68725868725869
"01","3",6.75675675675676
"02","1",8.68725868725869
"02","2",3.08880308880309
"02","3",2.12355212355212
"04","1",54.0540540540541
"04","2",37.6447876447876
"04","3",48.2625482625483
"06","1",2.31660231660232
"06","2",3.47490347490348
"06","3",0.772200772200772
"08","1",0.386100386100386
"08","2",2.8957528957529
"08","3",20.2702702702703
"17","1",1.93050193050193
"17","2",3.47490347490348
"17","3",7.91505791505792
"20","1",42.8571428571429
"20","2",47.8764478764479
"20","3",48.2625482625483
"22","1",66.6023166023166
"22","2",71.2355212355212
"22","3",65.6370656370656
"24","1",9.07335907335907
"24","2",8.3011583011583
"24","3",8.68725868725869
"25","1",4.63320463320463
"25","2",11.969111969112
"25","3",13.8996138996139
"75","1",34.7490347490347
"75","2",55.2123552123552
"75","3",18.5328185328185
"76","1",7.52895752895753
"76","2",20.4633204633205
"76","3",27.6061776061776
"78","1",25.0965250965251
"78","2",14.4787644787645
"78","3",19.6911196911197
"79","1",1.15830115830116
"79","2",6.56370656370656
"79","3",3.66795366795367
"80","1",0.772200772200772
"80","2",1.73745173745174
"80","3",2.31660231660232
"84","1",42.4710424710425
"84","2",63.1274131274131
"84","3",53.8610038610039
"92","1",41.6988416988417
"92","2",63.4989200863931
"92","3",68.9189189189189
"124","1",10.4247104247104
"124","2",21.042471042471
"124","3",29.1505791505792
"126","1",17.1814671814672
"126","2",11.5830115830116
"126","3",6.37065637065637
"128","1",9.65250965250965
"128","2",16.7953667953668
"128","3",29.7297297297297
"129","1",11.1969111969112
"129","2",24.3243243243243
"129","3",44.7876447876448
"130","1",0.193050193050193
"130","2",4.05405405405405
"130","3",2.7027027027027
"132","1",6.94980694980695
"132","2",23.1660231660232
"132","3",12.5482625482625
"133","1",2.50965250965251
"133","2",4.63320463320463
"133","3",0.965250965250965
"134","1",25.2895752895753
"134","2",52.8957528957529
"134","3",56.949806949807
"135","1",26.2548262548263
"135","2",11.1969111969112
"135","3",16.7953667953668
"137","1",4.24710424710425
"137","2",8.68725868725869
"139","1",60.8108108108108
"139","2",64.0926640926641
"139","3",58.8803088803089
"140","1",64.8648648648649
"140","2",72.5868725868726
"140","3",69.1119691119691
"152","1",28.957528957529
"152","2",21.8146718146718
"152","3",35.9073359073359
"151","1",0
"151","2",3.86100386100386
"151","3",4.44015444015444
